"","ID","Northing","Easting","Elev","Code","ConNum"
"314",88,15372952.25,1068929.3,580.151,"STMH","200165"
"315",79,15372163.47,1067349.32,579.35,"STMH","200045"
"316",52,15371394.87,1066456.58,597.4,"ELMH","200009"
"317",33,15372794.98,1068664.715,580.29,"ELMH","200273"
"318",46,15373987.46,1070862.745,578.446,"CB","601133"
"319",11,15376494.56,1075379.89,569.33,"MH","200769"
"320",37,15372375.55,1068008.29,586.789,"ELMH","200237"
"321",2,15374031.94,1071089.146,577.368,"STMH","101124"
"322",307,15373044.26,1069146.875,582.292,"CB","200439"
"323",274,15372201.52,1067319.28,579.61,"CB","200368"
"324",33,15373708.79,1070428.926,579.61,"STMH","302627"
"325",38,15374688.36,1071991.672,575.989,"STMH","302363"
"326",52,15375008.76,1072475.405,581.128,"STMH","101601"
"327",136,15374908.31,1072469.579,579.804,"CB","101511"
"328",71,15374888.32,1072170.437,578.52,"CB","302281"
"329",23,15373470.06,1070131.547,577.336,"CB","100829"
"330",89,15374735.65,1071957.339,575.667,"CB","302298"
"331",80,15375242.51,1072836.936,577.281,"CB","302154"
"332",48,15374618.03,1072029.558,576.133,"STMH","101443"
"333",64,15375337.55,1073039.538,576.341,"STMH","101672"
"334",39,15372375.69,1067834.68,585.43,"ELMH","200221"
"335",137,15375161.55,1072863.958,576.809,"CB","101802"
"336",264,15372181.15,1067418.85,579.47,"CB","200347"
"337",36,15372443.28,1068128.02,586.26,"ELMH","200238"
"338",68,15375467.94,1073400.488,573.677,"STMH","1000"
"339",5,15376348.65,1074910,570,"MH","200750"
"340",126,15373624.72,1070472.122,579.184,"CB","100943"
"341",37,15374838.28,1072204.203,578.594,"STMH","302385"
"342",134,15374622.82,1072039.826,576.145,"CB","101444"
"343",91,15373041.82,1069158.17,582.673,"STMH","200169"
"344",25,15375135.72,1072680.485,579.461,"ELMH",""
"345",102,15375455.46,1073392.141,573.472,"CB","101841"
"346",28,15373695.88,1070436.235,579.269,"CB","101056"
"347",10,15373589.14,1070242.486,578.191,"STMH","100916"
"348",69,15375100.49,1072600.28,579.083,"CB","302429"
"349",13,15374287.67,1071552.607,572.057,"STMH","101265"
"350",332,15372439.71,1067781.41,584.852,"CB","200488"
"351",305,15373060.3,1069159.32,582.538,"CB","200437"
"352",164,15375807.23,1073974.092,580.584,"CB","102078"
"353",72,15374436.41,1071729.389,572.962,"STMH","1002"
"354",57,15375917.14,1074198.826,582.555,"STMH","102060"
"355",342,15372471.25,1068144.7,586.484,"CB","200504"
"356",62,15374819.58,1072217.315,579.422,"STMH","101572"
"357",310,15373004.07,1068902.918,579.922,"CB","200454"
"358",29,15374550.01,1071795.88,573.581,"STMH","302337"
"359",38,15375690.97,1073722.34,577.24,"CB","600827"
"360",299,15373512.13,1069905.52,578.43,"CB","200416"
"361",295,15373363.8,1069763.86,580.391,"CB","200406"
"362",365,15372865.11,1068801.155,579.089,"CB","200543"
"363",382,15372929.3,1068757.869,578.829,"CB",""
"364",379,15372332.48,1067910.44,588.3,"CB","200587"
"365",345,15372519.93,1068278.01,585.553,"CB","200507"
"366",399,15376968.86,1076061.351,577.664,"CB",""
"367",260,15371731.65,1066821.53,584.83,"CB","200336"
"368",107,15375275.81,1072909.455,577.315,"CB","101658"
"369",95,15375458.18,1073265.025,574.025,"CB","101695"
"370",15,15376742.56,1075843.79,575.04,"MH","200781"
"371",394,15376866.76,1075926.108,575.067,"CB",""
"372",96,15375691.99,1073737.97,577.353,"CB","102103"
"373",59,15375166.59,1072722.514,579.001,"STMH","101638"
"374",364,15372866.96,1068800.11,579.082,"CB","200542"
"375",371,15372812.82,1068668.61,579.835,"CB","200549"
"376",10,15373695.26,1070448.563,579.405,"ELMH",""
"377",354,15372626.34,1068492.44,583.683,"CB","200522"
"378",340,15372452.47,1068154.42,586.056,"CB","200502"
"379",39,15375813.16,1073970.923,580.441,"CB","600805"
"380",53,15374923.03,1072458.569,580.564,"STMH","101513"
"381",6,15374210.15,1071351.189,574.106,"ELMH",""
"382",359,15372933.97,1068765.6,578.913,"CB","200537"
"383",103,15375392.27,1073291.86,573.718,"CB","101753"
"384",300,15373537.1,1070096.96,577.37,"CB","200430"
"385",131,15374285.99,1071563.121,571.65,"CB","101266"
"386",313,15372989.85,1069184.03,582.421,"CB","200457"
"387",276,15372203.25,1067324.8,579.602,"CB","200370"
"388",94,15375423.02,1072996.672,576.893,"CB","302048"
"389",10,15374142.83,1071244.39,575.087,"CB","101139"
"390",1,15376053.76,1074454.74,579.672,"MH","200706"
"391",324,15372278.23,1067612.48,582.029,"CB","200478"
"392",46,15371325.28,1066396.88,600.688,"ELMH","200102"
"393",30,15373609.53,1070232.072,578.271,"STMH","302646"
"394",294,15373301.48,1069806.2,580.439,"CB","200403 100796"
"395",380,15373410.64,1070018.393,577.966,"CB","50052"
"396",17,15374467.84,1071817.061,573.212,"CB","101308"
"397",277,15372244.95,1067400.01,579.834,"CB","200371"
"398",8,15376276.07,1074936.1,570.305,"MH","200754"
"399",10,15376527.42,1075278.6,567.93,"MH","200767"
"400",289,15373670.69,1070200.22,577.746,"CB","200388"
"401",27,15376867.24,1075848.598,584.216,"MH",""
"402",278,15371786.71,1066767.19,586.857,"CB","200373"
"403",27,15374879.1,1072426.037,580.096,"ELMH",""
"404",39,15375112.52,1072604.019,579.394,"STMH","302430"
"405",326,15372215.29,1067654.51,582.32,"CB","200480"
"406",78,15374682.37,1071995.771,575.752,"CB","302361"
"407",370,15372810.76,1068669.63,579.827,"CB","200548"
"408",43,15373008.71,1069087.864,581.802,"ELMH","200168"
"409",52,15373969.17,1070802.949,580.961,"CB","601179"
"410",19,15376156.34,1074648.56,576.058,"MH","200817"
"411",386,15371939.26,1066976.948,583.253,"CB",""
"412",20,15374377.95,1071455.496,572.126,"STMH","601241"
"413",104,15374906.71,1072470.766,579.788,"CB","101511"
"414",116,15375733.31,1074009.606,579.962,"CB","101936"
"415",314,15372987.83,1069184.63,582.437,"CB","200458"
"416",262,15372127.38,1067305.22,578.966,"CB","200345"
"417",147,15375566.28,1073334.061,573.522,"CB","302002"
"418",15,15373898.39,1070646.434,580.787,"ELMH",""
"419",85,15371902.82,1066775.43,589.24,"STMH","200107"
"420",6,15373419.16,1070036.832,577.746,"STMH","100820"
"421",333,15372438.05,1067782.23,584.838,"CB","200489"
"422",43,15373934.72,1070890.731,579.477,"CB","601032"
"423",105,15372596.14,1068223.93,585.922,"STMH","200256"
"424",41,15373373.28,1069777.963,580.264,"STMH","302520"
"425",266,15372155.49,1067382.6,579.15,"CB","200349"
"426",41,15373214.02,1069495.31,583.775,"ELMH","200186"
"427",34,15375590.91,1073519.18,574.535,"CB","600847"
"428",33,15375763.49,1073688.243,576.918,"CB","600901"
"429",8,15373471.3,1070138.976,577.344,"CB","100830"
"430",6,15376407.73,1075164.78,567.48,"MH","200752"
"431",55,15374083.1,1070929.45,583.54,"ELMH","200867"
"432",106,15375519.79,1073551.155,574.332,"CB","101878"
"433",233,15376587.73,1075764.24,572.985,"CB","200690"
"434",29,15374830.23,1072344.507,581.174,"CB","600754"
"435",31,15373458.65,1069933.303,578.8,"STMH","302503"
